20111230000001	aaaaaaaaa1	百度	1	1	www.baidu.com
20111230000002	aaaaaaaaa2	腾讯	1	1	www.qq.com
20111230000003	aaaaaaaaa3	百度	1	1	www.baidu.com
20111230000004	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000005	aaaaaaaaa3	腾讯	1	1	www.qq.com
20111230000006	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000007	aaaaaaaaa1	腾讯	1	1	www.qq.com
20111230000008	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000009	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000010	aaaaaaaaa6	阿里	1	1	www.ali.com
20111230000011	aaaaaaaaa1	百度	1	1	www.baidu.com
20111230000012	aaaaaaaaa2	腾讯	1	1	www.qq.com
20111230000013	aaaaaaaaa3	百度	1	1	www.baidu.com
20111230000014	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000015	aaaaaaaaa3	腾讯	1	1	www.qq.com
20111230000016	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000017	aaaaaaaaa1	腾讯	1	1	www.qq.com
20111230000018	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000019	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000020	aaaaaaaaa6	阿里	1	1	www.ali.com
20111230000021	aaaaaaaaa1	百度	1	1	www.baidu.com
20111230000022	aaaaaaaaa2	腾讯	1	1	www.qq.com
20111230000023	aaaaaaaaa3	百度	1	1	www.baidu.com
20111230000024	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000025	aaaaaaaaa3	腾讯	1	1	www.qq.com
20111230000026	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000027	aaaaaaaaa1	腾讯	1	1	www.qq.com
20111230000028	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000029	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000030	aaaaaaaaa6	阿里	1	1	www.ali.com
20111230000031	aaaaaaaaa1	百度	1	1	www.baidu.com
20111230000032	aaaaaaaaa2	腾讯	1	1	www.qq.com
20111230000033	aaaaaaaaa3	百度	1	1	www.baidu.com
20111230000034	aaaaaaaaa2	百度	1	1	www.baidu.com
20111230000035	aaaaaaaaa3	腾讯	1	1	www.qq.com
20111230000036	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000037	aaaaaaaaa1	腾讯	1	1	www.qq.com
20111230000038	aaaaaaaaa4	百度	1	1	www.baidu.com
20111230000039	aaaaaaaaa2	百度	1	1	www.baidu.com
